platform,original_link,post_time,title,view_count,like_count,price,images,description,category,status,seller_location,expiration_date,market_price,capacity,parking,options,check_in_out_time,shipping_fee,transaction_location,transaction_method
,,,,,,,,,,,,,,,,,,,,
당근마켓,https://www.daangn.com/articles/836464147,2024-10-02 12:54:31,호텔 양도,664,11,"11,111원","https://img.kr.gcp-karroter.net/origin/article/202410/55ca9f67d8ab8f6a5fa735e83e99671ee901bb2821a5eb164a51b15bfe98adde_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/55ca9f67d8ab8f6a5fa735e83e99671ee901bb2821a5eb164a51b15bfe98adde_1.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/5b16839f6e8c4b6f4b00ebfa90139d0c0d0da29fca9cec0d773b3d499b2d7cfc_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/056fbbab02d19c7d444b7d79fc9d9f61371f5f386d3066b5cc5fb7aef674be00_1.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/92e2787e895f2647f7fb03058ed3572f2e269889f5b34a557fb00742094249b0_2.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/92e2787e895f2647f7fb03058ed3572f2e269889f5b34a557fb00742094249b0_3.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/97b93cd85d3c142edd16bd87f5f0cb04bcf51335feb63421496fc6d30dc7b48d_4.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/0d33000ae801460a5e34b4aca6f4e13bff1153f168149f03f201aaa1f3e9e81c_5.webp?f=webp&q=95&s=1440x1440&t=inside","1. 횡성 웰리힐리파크리조트 
- 10월 3일, 4일, 5일 패밀리룸 (15만원), 스위트b룸(17만원)
- 워터플래닛 4인 50%,,  루지 44인 50% 할인권
2. 10월 8일 롯데속초리조트 콘도 디럭스 패밀리룸+커피2잔, 인피니티풀, 워터파크 40%할인권 (25만원)​",티켓/교환권,판매중,연수구 송도3동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/832373103,2024-10-02 12:53:31,속초 체스터톤스 호텔,310,7,"170,000원","https://img.kr.gcp-karroter.net/origin/article/202409/7bd0c8a4acb3c38694ff9638a01c1523405d82241a662bc27774b805bbe6c7b2_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/b7bd1c160194279af82f0c95717a88ef62823262737afcc39ddda2ef50ecdcd8_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/2cfeadc28b2dfb4ee2bbaa515791f5deb87684e6e1d4f7046be1793a7be5d499_1.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/46b061eff0a9360ff4bab4f89bbc6949a30e86a6df92b77a56d3456072fcdff0_0.webp?f=webp&q=95&s=1440x1440&t=inside","속초 체스터톤스 숙박권입니다.
3매구요~
원하는 매수 만큼 가능하세요.
투룸 슈페리어 더블 1박권 (1매) + 
치유인 사우나 4인 
(주중.주말.연휴 가능)
체크인 후 1층 수영장 사용가능해요.
최대 6인까지 가능해요.
침대방 1.  작은 온돌방1. 화장실 2. 거실1
(인터넷 검색하면 자세히 나와있어요)
원하는 날짜 말씀해주시면 
제가 확인 후 예약하고 입금해주시면 돼요.
예약했어도 지류티켓 없으면 입장불가해요.
티켓 받으러 오셔야해요.
(상황에 따라 조율 후 가져다 드릴 수도 있어요)
(취소. 환불 불가. // 신중히 선택해주세요)",티켓/교환권,판매중,부천시 여월동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/840996796,2024-10-02 12:52:31,수성호텔 vip 티켓 1장,4,0,"34,000원",https://img.kr.gcp-karroter.net/origin/article/202410/b1bfe5715f5cfdd3615d2f89aba454c5d3eba810242ef31b7c627328f251b0b1_0.webp?f=webp&q=95&s=1440x1440&t=inside,"수성호텔 호텔수성 vip 티켓  (수영장,루프탑,인피니티풀, 온천, 사우나, 이벤트탕)
*비대면가능",티켓/교환권,판매중,북구 매천동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/840996718,2024-10-02 12:52:31,코엑스 주차권 (유효기간없음),11,1,"5,000원",https://img.kr.gcp-karroter.net/origin/article/202410/2e653f9ffbb8a10c60d4b928e4511518b7293a36e5c44bb2f680b646651bd8ec_0.webp?f=webp&q=95&s=1440x1440&t=inside,"코엑스 5시간 주차권입니다.
(원래 코엑스 기본 주차요금 1시간 6000원) 
유효기간 없음.
사진거래- QR코드로 전송 드립니다.
*티맵에서 ""코엑스 오크우드 호텔 주차장"" 검색해서 들어가시면 됩니다 !
주차장은 지하 3,4층으로 가시면
지하 1,2층 코엑스랑 연결되어 있습니다.
좋은하루보내세요:)",티켓/교환권,판매중,강남구 개포동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/840996562,2024-10-02 12:52:31,"아난티 리조트호텔 가평, 코브, 빌라쥬드, 남해, 제주 숙박권 양도",12,0,"540,000원","https://img.kr.gcp-karroter.net/origin/article/202410/f4c58d7ed2b147b8d2e1803779d054b1ecef62f2049338b37cb7fe95bcb4b574.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/f4b41d5db4177f9604366569438cd5e2fc7ebfcee8122051c079b85c075dcf4a.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/bf0fa9a4df38f55489a1c60576562bf0810bcbc9e29c08f4609eace749dbcacd.jpg?f=webp&q=95&s=1440x1440&t=inside","남해 빼고 (평일)일-목 체크인 가능, 금토 불가.
남해 주말권만 금,토 체크인 가능
아난티 리조트호텔 가평, 코브, 빌라쥬드, 남해, 제주 숙박권 양도
1. 자유숙박권 : 56만원
가평 테라스,무라타,풀하우스, 부산 풀하우스, 클리퍼 등등 중에 선택해서 1박 가능(식사크레딧 없음)
2. 가평 코드 테라스하우스 숙박 및 식사크레딧 30,40,60만원 포함 : 64,69,79만원
2-1. 가평 테니스코트 2시간 이용권 
3 남해 펜트하우스A 숙박 및 식사크레딧 30만원 포함 : 54만원
3-1. 남해(주말) 펜트하우스A 숙박 및 식사크레딧 40만원 포함 : 63만원
3-2. 제주 주중주말 4인 숙박 + 골프그린피 + 조식 + 카트비 제세공과금 포함 100만원
유효기한 3개월
3-3. 제주 주중주말 골프그린피 4인 제세공과금 포함 35만
4. 부산 코브 테라스풀하우스A 숙박 및 식사크레딧 40,60만원 포함 : 67,77만원
5. 부산 빌라쥬드 클리퍼듀플렉스 숙박 및 식사크레딧 60만원 포함 : 74만원
기타 다른방 가능, 문의
유효기한 2025년 6월",티켓/교환권,판매중,남구 사직동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/837475595,2024-10-02 12:51:31,요가복,106,1,"18,000원","https://img.kr.gcp-karroter.net/origin/article/202409/9babe2065258573fe59fe558e041767a6d8847bc3d6dd2400e0ec6e427438172_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/7f1d7f75675048161db47ac6c82799ee04612ad365aaddf66d42da104780d2e3_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/a6e8712b049a9b6db0fe3ad5edc76ab98bd243918b748df6b5f176cded84ad11_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/4ca04fd9196a53bbdfa8f23f35543b9ae31826c4363263d6f4b86b06b3aaa807_3.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202409/4ca04fd9196a53bbdfa8f23f35543b9ae31826c4363263d6f4b86b06b3aaa807_4.webp?f=webp&q=95&s=1440x1440&t=inside","스판이쨍쨍하고 화려한문양의 요가복
새제품입니다 입으면 예뻐요
작년여름에 구입해 놓고 자신이 없어서 (갑자기 살이쪄서)
못입어본 요가복입니다 
배불룩 팔뚝불룩 자신이없어 눈물을머금고 당근합니다
55사이즈에서66사이즈까지 입을수있습니다
마지막사진 S사이즈 요가레깅스(당근색) 는
요가복 한벌사시는분께 그냥드립니다
요가복으로 입기도하지만 가끔 호텔수영장에서 Swiming suit로
입으면 일석이조의 옷입지요",스포츠/레저,판매중,서귀포시 법환동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/840986215,2024-10-02 12:35:31,파타야 힐튼호텔 디럭스룸 10/12~13,21,0,"400,000원","https://img.kr.gcp-karroter.net/origin/article/202410/656c9900af5958b7e6ba9df0d6a582919ae9d8b3641614d9a7d8da53f1da267d.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/829dd629f8ca597456d79c10cf0a7a9993a39f42025dd5f88cb9bca9fe23d229.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/b786b19316cd0515aaaf01f4e3b3604f51b292a9ac305ae6249a17c552740272.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/204ad853c84d1c77bb827be87ecda19ebb5560c93264750c14bd46e22f258381.jpg?f=webp&q=95&s=1440x1440&t=inside",연락주세요,티켓/교환권,판매중,수원시 영통구 영통동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/840985501,2024-10-02 12:34:31,멕시코 칸쿤 TRS호텔 모자  (새상품),11,1,"3,000원",https://img.kr.gcp-karroter.net/origin/article/202410/0a58d6ba0573508158d8dcb2879038b40e0520f6b222bcb290625e7dbea2388a_0.webp?f=webp&q=95&s=1440x1440&t=inside,"각각 3,000원이요",기타 중고물품,판매중,안양시 동안구 비산동,,,,,,,,,
당근마켓,https://www.daangn.com/articles/840984922,2024-10-02 12:33:31,글램 호텔 숙박,57,0,"60,000원","https://img.kr.gcp-karroter.net/origin/article/202410/ee4d6d4d8518764f1b855ce8c0eb756e7bf0d543c5071fc21774207427f8370a.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/1b2311cbe701814d56b78a5bcb59052f777e9d8e99072a3c28b0c09fbb9d10b2.jpg?f=webp&q=95&s=1440x1440&t=inside","경희대 글램 호텔 숙박권 판매합니다.
연락주세요:)",티켓/교환권,판매중,종로구 창신제2동,,,,,,,,,
