,platform,original_link,post_time,title,view_count,like_count,price,images,description,category,status,seller_location,city_goo,citydong,description_1,expiration_stdate,expiration_endate,room_type,head_count,shipping_fee,transaction_method,market_price,options,parking,check_in_time,check_out_time,stay_type,foreignn,event,advertise
0,당근마켓,https://www.daangn.com/articles/845853060,2024-10-10 10:27:51.013,10/11-12 금토) 호텔케니여수 스탠다드더블룸 양도해요,7,0,44000,"https://img.kr.gcp-karroter.net/origin/article/202410/b4954fcd110e529fef0bf11a10b4d8895638441986959470a9e8201b1d1350d6.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/968472260c43a67ba291e0c12eddee27e27461035deeefa05e6ceb21f8208290.jpg?f=webp&q=95&s=1440x1440&t=inside",못 가게되서요 양도합니다,티켓/교환권,판매중,담양군 금성면,,,"제목 : 10/11-12 금토) 호텔케니여수 스탠다드더블룸 양도해요, 상품 게시 시간 : 2024-10-10 10:27:51.013, 상세 설명 : 못 가게되서요 양도합니다",,,스탠다드더블룸,,0.0,기타,,,False,,,호텔,국내,,False
1,당근마켓,https://www.daangn.com/articles/845851669,2024-10-10 10:24:51.013,●농심호텔 허심청브로이 옥토버페스트 수제맥주축제  OKTOBERFEST 티켓,29,2,28000,"https://img.kr.gcp-karroter.net/origin/article/202410/3c4b33440f783e77ff31467a7c15a9db0ebde4077d7f579fe8f059f9093247bc_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/3c4b33440f783e77ff31467a7c15a9db0ebde4077d7f579fe8f059f9093247bc_1.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/3c4b33440f783e77ff31467a7c15a9db0ebde4077d7f579fe8f059f9093247bc_2.webp?f=webp&q=95&s=1440x1440&t=inside","농심호텔
허심청브로이 옥토버페스트 수제맥주축제 
OKTOBERFEST
2024.10.10목 ~ 10.12토
3일 기간중에 원하는 날짜로 티켓사용 가능합니다
10장 일괄구매 원할경우는 문의주세요
중고거래특성상 교환, 환불은 어려우니 신중구매 부탁드립니다",티켓/교환권,판매중,연제구 연산제2동,연제구,연산제2동,"제목 : ●농심호텔 허심청브로이 옥토버페스트 수제맥주축제  OKTOBERFEST 티켓, 상품 게시 시간 : 2024-10-10 10:24:51.013, 상세 설명 : 농심호텔
허심청브로이 옥토버페스트 수제맥주축제 
OKTOBERFEST
2024.10.10목 ~ 10.12토
3일 기간중에 원하는 날짜로 티켓사용 가능합니다
10장 일괄구매 원할경우는 문의주세요
중고거래특성상 교환, 환불은 어려우니 신중구매 부탁드립니다",,,,,0.0,기타,,,False,,,기타,국내,,False
2,당근마켓,https://www.daangn.com/articles/845850450,2024-10-10 10:22:51.013,호텔스카이파크센트럴 판교 10/12(토)~13(일),21,0,100000,https://img.kr.gcp-karroter.net/origin/article/202410/fe5945c46b1d5f77fc084dd9e2024b7131c23cd37095184c3605878f61493d98_0.webp?f=webp&q=95&s=1440x1440&t=inside,"환불불가 상품으로
개인사정으로 못가게 되어서 팝니다
객실만이에요
조식 미포함
체크인 15시
체크아웃 익일 12시 입니다",티켓/교환권,판매중,광진구 구의제3동,광진구,구의제3동,"제목 : 호텔스카이파크센트럴 판교 10/12(토)~13(일), 상품 게시 시간 : 2024-10-10 10:22:51.013, 상세 설명 : 환불불가 상품으로
개인사정으로 못가게 되어서 팝니다
객실만이에요
조식 미포함
체크인 15시
체크아웃 익일 12시 입니다",,,객실만,,0.0,기타,,,False,15:00,12:00,호텔,국내,,False
3,당근마켓,https://www.daangn.com/articles/845834566,2024-10-10 09:54:51.013,신라호텔 더 파크뷰 레스토랑 식사권 2매 판매합니다,87,6,360000,https://img.kr.gcp-karroter.net/origin/article/202410/7b17aa54699ab7977c5a8645b845179631d27c402a519d5e76fbe6cd8ea89b71.jpg?f=webp&q=95&s=1440x1440&t=inside,신라호텔 더 파크뷰 레스토랑 식사권 2매 판매합니다,티켓/교환권,판매중,영등포구 여의동,영등포구,여의동,"제목 : 신라호텔 더 파크뷰 레스토랑 식사권 2매 판매합니다, 상품 게시 시간 : 2024-10-10 09:54:51.013, 상세 설명 : 신라호텔 더 파크뷰 레스토랑 식사권 2매 판매합니다",2024-10-10,2024-10-12,,,0.0,기타,,,False,,,호텔,국내,OKTOBERFEST,False
4,당근마켓,https://www.daangn.com/articles/845832050,2024-10-10 09:54:51.013,"호텔 드포레 ""주말"" 숙박권 (~11-30) [네이처파크 무료]",354,33,100000,"https://img.kr.gcp-karroter.net/origin/article/202410/2c8712a220c1d716cd1c93720bf3f1f81d7236e289c1e7607a261545b2f27a35_2.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/e6e0ca27607ef68d12925e0ff71567494aee780219e8974f6392938f37ef8967_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/d65cf10bb93068b13b37d7438ab3f43ad5b2e113e8212dd545646199d47b676d_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/a31b860a8e14973b564c7440f981cdc9e7f88d7f7c8123d1e4f1ea2cafff87e0_1.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/6583f852dffa368e14db0ff55377cf039c036f389bdd567b336072e49165d43f_3.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/220ec912f566d0ff8272b93741abd6bda8ed75e69429d599c0386ca6fc33f3b8_4.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/220ec912f566d0ff8272b93741abd6bda8ed75e69429d599c0386ca6fc33f3b8_5.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/eca8dad20ffa06a6e12408f26d60c93d7f3bd77a6ce83250baccda86de9a3ce5_6.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/0712e5c726d6da208e2dfb0c7e6d7de45637ce87198de8ae887db73a4d844ce4_7.webp?f=webp&q=95&s=1440x1440&t=inside","스파밸리 호텔
호텔 드포레
친환경 힐링 숲속호텔
(네이처파크 무료이용)
주중 가능.주말 가능.
1실 2인기준.",티켓/교환권,판매중,수성구 지산동,수성구,지산동,"제목 : 호텔 드포레 ""주말"" 숙박권 (~11-30) [네이처파크 무료], 상품 게시 시간 : 2024-10-10 09:54:51.013, 상세 설명 : 스파밸리 호텔
호텔 드포레
친환경 힐링 숲속호텔
(네이처파크 무료이용)
주중 가능.주말 가능.
1실 2인기준.",null,2049-02-28,,,0.0,직거래,,,False,,,호텔,국내,,False
5,당근마켓,https://www.daangn.com/articles/845825339,2024-10-10 09:54:51.013,롯데호텔 통합숙박권 (시그니엘 포함),44,3,750000,"https://img.kr.gcp-karroter.net/origin/article/202410/2998a7b56c459feca0b5534998d0a3bbee925dc57e22a91a6ec104597aec72e9.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/ea2fd682283cc2d8c11cf30aa8d12361d1f2fccd7cd864273923eafac23630aa.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/f3104f7428d635fa4a769ee9d31f39e3133001bbbfd6b2466d90ef58d9247f55.jpg?f=webp&q=95&s=1440x1440&t=inside","롯데호텔 통합숙박권 판매합니다
본래 제가 사용하려 했는데 
사용할 일이 없어져 판매합니다
크리스마스 이브 및 연말 제외하고
주말 사용 가능한 숙박권 입니다
자세한 사항은 사진 참고 바랍니다
유효기간은 25년 2월 28일까지 입니다
직거래 가능하니 편하게 연락주세요",티켓/교환권,판매중,전주시 덕진구 인후3동,덕진구,인후3동,"제목 : 롯데호텔 통합숙박권 (시그니엘 포함), 상품 게시 시간 : 2024-10-10 09:54:51.013, 상세 설명 : 롯데호텔 통합숙박권 판매합니다
본래 제가 사용하려 했는데 
사용할 일이 없어져 판매합니다
크리스마스 이브 및 연말 제외하고
주말 사용 가능한 숙박권 입니다
자세한 사항은 사진 참고 바랍니다
유효기간은 25년 2월 28일까지 입니다
직거래 가능하니 편하게 연락주세요",,2024-11-30,Standard Room,2.0,0.0,기타,,"친환경, 힐링, 숲속",True,,,호텔,국내,,False
6,당근마켓,https://www.daangn.com/articles/845822843,2024-10-10 09:54:51.013,라온호텔 리조트 14~15일 (2객실),100,3,100000,"https://img.kr.gcp-karroter.net/origin/article/202410/fed649a3f9a45a5b99c0d1a31684f459ab48cc3dd4304ca6decb0d28ea2aafa3_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/fed649a3f9a45a5b99c0d1a31684f459ab48cc3dd4304ca6decb0d28ea2aafa3_1.webp?f=webp&q=95&s=1440x1440&t=inside","라온호텔리조트 디럭스 트윈 오션뷰
14일~ 15일 1박 숙박권 팝니다
(못가게되어서 내놓습니다ㅠ)
2객실 모두 하실시 9만원에 드릴께요~
1객실은 5만원입니다~",티켓/교환권,판매중,서귀포시 동홍동,,동홍동,"제목 : 라온호텔 리조트 14~15일 (2객실), 상품 게시 시간 : 2024-10-10 09:54:51.013, 상세 설명 : 라온호텔리조트 디럭스 트윈 오션뷰
14일~ 15일 1박 숙박권 팝니다
(못가게되어서 내놓습니다ㅠ)
2객실 모두 하실시 9만원에 드릴께요~
1객실은 5만원입니다~",2024-10-14,2024-10-15,디럭스 트윈 오션뷰,4.0,0.0,기타,,,False,,,리조트,국내,,False
7,당근마켓,https://www.daangn.com/articles/845815353,2024-10-10 08:54:51.013,파라다이스호텔 인천 11/13-14디럭스트윈,2,0,350000,정보없음,"[1박] 디럭스룸+온더플레이트 조식 2인+사우나 2인+씨메르 2인+원더박스+무제한 수영장
예약자 변경 해드려요",티켓/교환권,판매중,송파구 삼전동,송파구,삼전동,"제목 : 파라다이스호텔 인천 11/13-14디럭스트윈, 상품 게시 시간 : 2024-10-10 08:54:51.013, 상세 설명 : [1박] 디럭스룸+온더플레이트 조식 2인+사우나 2인+씨메르 2인+원더박스+무제한 수영장
예약자 변경 해드려요",,,디럭스트윈,2.0,0.0,기타,,"온더플레이트 조식, 사우나 2인, 씨메르 2인, 원더박스, 무제한 수영장",False,,,호텔,국내,,False
8,당근마켓,https://www.daangn.com/articles/845815105,2024-10-10 08:54:51.013,"파르나스 제주, 서울 호텔 라운지 이용권 판매해요",73,3,22000,"https://img.kr.gcp-karroter.net/origin/article/202410/74f01b6d4b697f5beacc11a1a321cd7f186da0fbef216332f4816685f38219c6.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/2f98c7a13b85872600bccf0805cf4c04bc01c407234b19f4f13b9f4fcaca6248.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/8a8ceabfa4f26a5d3bd9efc35ff6eca2642e46fdef161aad97b16f50c329e75a.jpg?f=webp&q=95&s=1440x1440&t=inside","- 수제맥주 2잔 : 파르나스 '로비 라운지', '로비 바'를 포함한 전 레스토랑&바에서 시구니처 수제맥주 2잔 이용
-커피 2잔 : 파르나스 '그랜드 델리', '로비 라운지&바' 또는 인터칸티넨탈 서울 코엑스의 '로비 라운지', '로비 바' 에서 카피 2잔 이용
장당 가격입니다 
직거래, 등기 가능합니다.
등기비 별도입니다.
라이브 연주 보시며 잘 즐기셔요
평일은 을지로입구 주말은 잠실, 삼성역 가능해요
유효기간 12,31일 까지 입니다
커피 2장, 맥주 1장 남았습니다",티켓/교환권,판매중,강남구 삼성동,강남구,삼성동,"제목 : 파르나스 제주, 서울 호텔 라운지 이용권 판매해요, 상품 게시 시간 : 2024-10-10 08:54:51.013, 상세 설명 : - 수제맥주 2잔 : 파르나스 '로비 라운지', '로비 바'를 포함한 전 레스토랑&바에서 시구니처 수제맥주 2잔 이용
-커피 2잔 : 파르나스 '그랜드 델리', '로비 라운지&바' 또는 인터칸티넨탈 서울 코엑스의 '로비 라운지', '로비 바' 에서 카피 2잔 이용
장당 가격입니다 
직거래, 등기 가능합니다.
등기비 별도입니다.
라이브 연주 보시며 잘 즐기셔요
평일은 을지로입구 주말은 잠실, 삼성역 가능해요
유효기간 12,31일 까지 입니다
커피 2장, 맥주 1장 남았습니다",,,,,0.0,기타,,,False,,,호텔,국내,,False
9,당근마켓,https://www.daangn.com/articles/845813761,2024-10-10 08:54:51.013,조선팰리스 호텔 숙박권 조식,4,2,500000,https://img.kr.gcp-karroter.net/origin/article/202410/1f5ec0b105cf79532f9d1458f52f237b2299877b5460e2e368f4618e2b366c08_0.webp?f=webp&q=95&s=1440x1440&t=inside,"80만원어치 사용가능한 사용권 팝니다
10월 혹은 11월 사용가능해요
가능한 날짜 말씀해 주시면 되세요^^",티켓/교환권,판매중,용산구 이태원제1동,용산구,이태원제1동,"제목 : 조선팰리스 호텔 숙박권 조식, 상품 게시 시간 : 2024-10-10 08:54:51.013, 상세 설명 : 80만원어치 사용가능한 사용권 팝니다
10월 혹은 11월 사용가능해요
가능한 날짜 말씀해 주시면 되세요^^",null,2024-12-31,,,0.0,직거래,,"로비 라운지,로비 바,그랜드 델리,인터칸티넨탈 서울 코엑스",False,,,호텔,국내,,False
