"id","platform","original_link","post_time","title","view_count","like_count","price","images","description","category","status","seller_location","expiration_date","market_price","capacity","parking","options","check_in_out_time","shipping_fee","transaction_location","transaction_method"
"","번개장터","https://www.번개장터.com/items/","2024-09-30 18:38:54.759015","신라호텔 더파크뷰 식사권(2장)","17","0","320000","https://media.bunjang.co.kr/product/291769299_{cnt}_1727658294_w{res}.jpg","10월4일까지는 추가요금 없이 사용가능
이후로는 7000원 추가결제후 사용가능(호텔측에 확인)","외식","SELLING","분당구 구미동","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 18:36:54.759040","지박소년 하나코군 만화책 원서 11권 특장판 고스트호텔 초대장","90","6","100000","https://media.bunjang.co.kr/product/291409832_{cnt}_1727611540_w{res}.jpg","지박소년하나코군 11권초판원서,특장판11권원서,고스트호텔소책자,초대장,기타책구매시받은지류 일괄 양도합니다
소장용으로 Opp봉투에 넣어둬서 상태 좋아요!","만화","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 18:28:54.759050","강릉 씨마크호텔 숙박권 조식 2인과 상품권 20만원포함","6","0","480000","https://media.bunjang.co.kr/product/291836716_{cnt}_1727688448_w{res}.jpg","- 강릉 5성급 씨마크 호텔 주중 숙박권 양도합니다

- 프리미엄 디럭스 오션뷰 1박 / 성인4
- 추가비용없이 4인까지 무료숙박
- 주중권(일~목요일) , 공휴일 제외
- 조식 2인, 부대시설 20만원포함(인피니티풀 2인 또는 룸업글등 이용)
48개월미만 무료

24년 12월 31일까지

* 객실예약문의는 호텔에 문의해주세요

7호선 9호선 2호선 삼성동 인근 직거래","여행/숙박/렌트","SELLING","강남구 삼성2동","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 17:52:54.759059","서울신라호텔 숙박권 팝니다.","11","0","500000","https://media.bunjang.co.kr/product/291831165_{cnt}_1727686284_w{res}.jpg","평일 주말 다 사용가능 하며 조식은 없습니다.
객실만 있으면 사용가능하고 전화로 객실예약해서 번호 불러주고 숙박권 가져가시면 됩니다.

직거래는 수원효동초등학교 앞
나머지는 택포해서 보내드립니다.","여행/숙박/렌트","SELLING","영통구 매탄4동","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 17:51:54.759067","(10/1~10/2) 명동 더큐브호텔 숙박 (여성전용)","4","0","25000","https://media.bunjang.co.kr/product/291831058_{cnt}_1727686245_w{res}.jpg","명동 더큐브호텔 숙박입니다 
2024.10.01~2024.10.02 까지예요 여성전용칸이고 아침 조식 포함이에요
채팅 주시면 더 자세하게 설명해 드릴게요","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 18:00:54.759074","가격 내림/제주 해비치호텔 숙박권 및 해비치cc 4인그린피 이용 골프티켓","71","2","410000","https://media.bunjang.co.kr/product/288364503_{cnt}_1727493040_w{res}.jpg","가격내림 /2장 있습니다 1장가격44만->41만 
Superior Room

- 2인 조식 포함

- 식음업장 6만원 이용권 포함

- 수영장 무료

- 사우나 50% 할인

- 식음료 10% 할인

(제주해비치컨트리클럽 4인 그린피 호환이용 가능)

무료배송

24년12월31일까지","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 17:49:54.759082","대구 수성호텔 수영장및 사우나 이용권 4장","417","3","250000","https://media.bunjang.co.kr/product/243254043_{cnt}_1700226269_w{res}.jpg","이용권 4장 팝니다
원가 한장에11만원","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 17:49:54.759090","세븐틴 고양콘서트 PLAY&STAY 동반입장 호텔+티켓 양도","75","0","1500000","https://media.bunjang.co.kr/product/291242444_{cnt}_1727686089_w{res}.jpg","[Play&Stay] SEVENTEEN [RIGHT HERE] WORLD TOUR IN GOYANG
세븐틴 고양 콘서트 고양콘 플레이앤스테이 티켓 양도

10/12 (토) Play & Stay 동반입장
글래드여의도 호텔 + 티켓 1장 + MD

호텔은 10/11~10/13까지 2박 가능합니다!","콘서트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 15:49:54.759097","부천 캣츠 호텔 숙박","10","0","40000","https://media.bunjang.co.kr/product/291807098_{cnt}_1727676957_w{res}.jpg","주소는 경기 부천시 원미구 원미로 17번길 36 이고, 
부천역 근처입니다.
도보전용이고 입실은 오후 4시고 퇴실은 다음 날 오후 1시 입니다.
인원은 최대 2명 입니다.
궁금하신 내용 연락주세요
⭐오늘 이용입니다⭐","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-30 15:49:54.759104","강원도 체스터톤스 속초 호텔 10/6~10/7 온수 수영장","3","1","120000","https://media.bunjang.co.kr/product/291807601_{cnt}_1727679534_w{res}.jpg","10/6(일) ~ 10/7(월) 1박
체스터톤스 속초 못가게되어 판매합니다 ㅜㅜㅜ
투룸 슈페리얼 더블12만원에 올립니다
최대 6인 기본4인이에요
수영장도 온수라 좋으실거에요 연락주세요~!
오늘까지 취소라 안팔리면 취소하고 내릴께요","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
